days,dt,cur_time_in_gmt,cpu_utilization_pctg,hour
3/15/2017 19:00,3/15/2017,3/15/2017 19:00,50.833,19
3/15/2017 20:00,3/15/2017,3/15/2017 20:00,68.611,20
3/15/2017 21:00,3/15/2017,3/15/2017 21:00,51.524,21
3/15/2017 22:00,3/15/2017,3/15/2017 22:00,43.611,22
3/15/2017 23:00,3/15/2017,3/15/2017 23:00,43.333,23
3/16/2017 0:00,3/15/2017,3/16/2017 0:00,63.889,0
3/16/2017 1:00,3/15/2017,3/16/2017 1:00,54.444,1
3/16/2017 2:00,3/15/2017,3/16/2017 2:00,60.833,2
3/16/2017 3:00,3/15/2017,3/16/2017 3:00,51.801,3
3/16/2017 4:00,3/15/2017,3/16/2017 4:00,39.167,4
3/16/2017 5:00,3/16/2017,3/16/2017 5:00,39.167,5
3/16/2017 6:00,3/16/2017,3/16/2017 6:00,33.333,6
3/16/2017 7:00,3/16/2017,3/16/2017 7:00,38.611,7
3/16/2017 8:00,3/16/2017,3/16/2017 8:00,37.778,8
3/16/2017 9:00,3/16/2017,3/16/2017 9:00,44.444,9
3/16/2017 10:00,3/16/2017,3/16/2017 10:00,59.834,10
3/16/2017 11:00,3/16/2017,3/16/2017 11:00,62.778,11
3/16/2017 12:00,3/16/2017,3/16/2017 12:00,74.444,12
3/16/2017 13:00,3/16/2017,3/16/2017 13:00,83.611,13
3/16/2017 14:00,3/16/2017,3/16/2017 14:00,61.944,14
3/16/2017 15:00,3/16/2017,3/16/2017 15:00,68.333,15
3/16/2017 16:00,3/16/2017,3/16/2017 16:00,65.928,16
3/16/2017 17:00,3/16/2017,3/16/2017 17:00,61.389,17
3/16/2017 18:00,3/16/2017,3/16/2017 18:00,50.278,18
3/16/2017 19:00,3/16/2017,3/16/2017 19:00,49.444,19
3/16/2017 20:00,3/16/2017,3/16/2017 20:00,56.667,20
3/16/2017 21:00,3/16/2017,3/16/2017 21:00,53.889,21
3/16/2017 22:00,3/16/2017,3/16/2017 22:00,41.944,22
3/16/2017 23:00,3/16/2017,3/16/2017 23:00,43.767,23
3/17/2017 0:00,3/16/2017,3/17/2017 0:00,69.167,0
3/17/2017 1:00,3/16/2017,3/17/2017 1:00,58.333,1
3/17/2017 2:00,3/16/2017,3/17/2017 2:00,57.778,2
3/17/2017 3:00,3/16/2017,3/17/2017 3:00,50.556,3
3/17/2017 4:00,3/16/2017,3/17/2017 4:00,37.778,4
3/17/2017 5:00,3/17/2017,3/17/2017 5:00,37.778,5
3/17/2017 6:00,3/17/2017,3/17/2017 6:00,35.278,6
3/17/2017 7:00,3/17/2017,3/17/2017 7:00,27.5,7
3/17/2017 8:00,3/17/2017,3/17/2017 8:00,29.722,8
3/17/2017 9:00,3/17/2017,3/17/2017 9:00,53.056,9
3/17/2017 10:00,3/17/2017,3/17/2017 10:00,60.556,10
3/17/2017 11:00,3/17/2017,3/17/2017 11:00,63.435,11
3/17/2017 12:00,3/17/2017,3/17/2017 12:00,75.833,12
